,YearStart,LocationAbbr,LocationDesc,Question,DataValue,GeoLocation,LocationID,QuestionID,DataValueTypeID,LowConfidenceLimit,HighConfidenceLimit,GENDER,OVERALL,RACE
455,2011,AK,Alaska,Recent mentally unhealthy days among adults aged >= 18 years,5.3,"(64.84507995700051, -147.72205903599973)",2,MTH1_0,MEAN,3.4,7.2,,,"Multiracial, non-Hispanic"
456,2011,AK,Alaska,Recent mentally unhealthy days among adults aged >= 18 years,5.4,"(64.84507995700051, -147.72205903599973)",2,MTH1_0,AGEADJMEAN,3.6,7.1,,,"Multiracial, non-Hispanic"
478,2011,AZ,Arizona,Recent mentally unhealthy days among adults aged >= 18 years,3.2,"(34.865970280000454, -111.76381127699972)",4,MTH1_0,AGEADJMEAN,2.7,3.7,Male,,
479,2011,AZ,Arizona,Recent mentally unhealthy days among adults aged >= 18 years,3.2,"(34.865970280000454, -111.76381127699972)",4,MTH1_0,MEAN,2.7,3.7,Male,,
480,2011,AZ,Arizona,Recent mentally unhealthy days among adults aged >= 18 years,3.5,"(34.865970280000454, -111.76381127699972)",4,MTH1_0,AGEADJMEAN,2.2,4.9,,,"Black, non-Hispanic"
481,2011,AZ,Arizona,Recent mentally unhealthy days among adults aged >= 18 years,3.6,"(34.865970280000454, -111.76381127699972)",4,MTH1_0,MEAN,3.3,4,,,"White, non-Hispanic"
482,2011,AZ,Arizona,Recent mentally unhealthy days among adults aged >= 18 years,3.8,"(34.865970280000454, -111.76381127699972)",4,MTH1_0,AGEADJMEAN,3.3,4.2,,,"White, non-Hispanic"
483,2011,AZ,Arizona,Recent mentally unhealthy days among adults aged >= 18 years,3.9,"(34.865970280000454, -111.76381127699972)",4,MTH1_0,AGEADJMEAN,3.5,4.2,,Overall,
484,2011,AZ,Arizona,Recent mentally unhealthy days among adults aged >= 18 years,3.9,"(34.865970280000454, -111.76381127699972)",4,MTH1_0,MEAN,2.2,5.5,,,"Black, non-Hispanic"
485,2011,AZ,Arizona,Recent mentally unhealthy days among adults aged >= 18 years,3.9,"(34.865970280000454, -111.76381127699972)",4,MTH1_0,MEAN,3.5,4.2,,Overall,
486,2011,AZ,Arizona,Recent mentally unhealthy days among adults aged >= 18 years,4,"(34.865970280000454, -111.76381127699972)",4,MTH1_0,MEAN,3.2,4.8,,,Hispanic
487,2011,AZ,Arizona,Recent mentally unhealthy days among adults aged >= 18 years,4.3,"(34.865970280000454, -111.76381127699972)",4,MTH1_0,AGEADJMEAN,3.3,5.2,,,Hispanic
488,2011,AZ,Arizona,Recent mentally unhealthy days among adults aged >= 18 years,4.5,"(34.865970280000454, -111.76381127699972)",4,MTH1_0,AGEADJMEAN,4,5,Female,,
489,2011,AZ,Arizona,Recent mentally unhealthy days among adults aged >= 18 years,4.5,"(34.865970280000454, -111.76381127699972)",4,MTH1_0,MEAN,4,5,Female,,
490,2011,AZ,Arizona,Recent mentally unhealthy days among adults aged >= 18 years,5,"(34.865970280000454, -111.76381127699972)",4,MTH1_0,AGEADJMEAN,3.5,6.6,,,"Other, non-Hispanic"
491,2011,AZ,Arizona,Recent mentally unhealthy days among adults aged >= 18 years,5.2,"(34.865970280000454, -111.76381127699972)",4,MTH1_0,MEAN,3.5,6.8,,,"Other, non-Hispanic"
492,2011,AZ,Arizona,Recent mentally unhealthy days among adults aged >= 18 years,5.6,"(34.865970280000454, -111.76381127699972)",4,MTH1_0,AGEADJMEAN,2.6,8.6,,,"Multiracial, non-Hispanic"
26,2011,AR,Arkansas,Recent mentally unhealthy days among adults aged >= 18 years,3.7,"(34.74865012400045, -92.27449074299966)",5,MTH1_0,AGEADJMEAN,1.9,5.5,,,Hispanic
27,2011,AR,Arkansas,Recent mentally unhealthy days among adults aged >= 18 years,3.9,"(34.74865012400045, -92.27449074299966)",5,MTH1_0,MEAN,2,5.7,,,Hispanic
28,2011,AR,Arkansas,Recent mentally unhealthy days among adults aged >= 18 years,4.3,"(34.74865012400045, -92.27449074299966)",5,MTH1_0,MEAN,2.4,6.3,,,"Other, non-Hispanic"
29,2011,AR,Arkansas,Recent mentally unhealthy days among adults aged >= 18 years,4.5,"(34.74865012400045, -92.27449074299966)",5,MTH1_0,AGEADJMEAN,2.8,6.2,,,"Other, non-Hispanic"
30,2011,AR,Arkansas,Recent mentally unhealthy days among adults aged >= 18 years,4.7,"(34.74865012400045, -92.27449074299966)",5,MTH1_0,AGEADJMEAN,3.9,5.5,Male,,
31,2011,AR,Arkansas,Recent mentally unhealthy days among adults aged >= 18 years,4.7,"(34.74865012400045, -92.27449074299966)",5,MTH1_0,MEAN,4,5.4,Male,,
32,2011,AR,Arkansas,Recent mentally unhealthy days among adults aged >= 18 years,4.9,"(34.74865012400045, -92.27449074299966)",5,MTH1_0,MEAN,4.4,5.4,,,"White, non-Hispanic"
33,2011,AR,Arkansas,Recent mentally unhealthy days among adults aged >= 18 years,5.1,"(34.74865012400045, -92.27449074299966)",5,MTH1_0,AGEADJMEAN,4.6,5.7,,,"White, non-Hispanic"
34,2011,AR,Arkansas,Recent mentally unhealthy days among adults aged >= 18 years,5.2,"(34.74865012400045, -92.27449074299966)",5,MTH1_0,MEAN,4.8,5.7,,Overall,
35,2011,AR,Arkansas,Recent mentally unhealthy days among adults aged >= 18 years,5.3,"(34.74865012400045, -92.27449074299966)",5,MTH1_0,AGEADJMEAN,4.8,5.8,,Overall,
36,2011,AR,Arkansas,Recent mentally unhealthy days among adults aged >= 18 years,5.7,"(34.74865012400045, -92.27449074299966)",5,MTH1_0,MEAN,5.1,6.3,Female,,
37,2011,AR,Arkansas,Recent mentally unhealthy days among adults aged >= 18 years,5.9,"(34.74865012400045, -92.27449074299966)",5,MTH1_0,AGEADJMEAN,5.3,6.5,Female,,
38,2011,AR,Arkansas,Recent mentally unhealthy days among adults aged >= 18 years,6.2,"(34.74865012400045, -92.27449074299966)",5,MTH1_0,AGEADJMEAN,4.7,7.8,,,"Black, non-Hispanic"
39,2011,AR,Arkansas,Recent mentally unhealthy days among adults aged >= 18 years,6.6,"(34.74865012400045, -92.27449074299966)",5,MTH1_0,MEAN,4.9,8.4,,,"Black, non-Hispanic"
40,2011,AR,Arkansas,Recent mentally unhealthy days among adults aged >= 18 years,8.5,"(34.74865012400045, -92.27449074299966)",5,MTH1_0,AGEADJMEAN,5.5,11.5,,,"Multiracial, non-Hispanic"
41,2011,AR,Arkansas,Recent mentally unhealthy days among adults aged >= 18 years,8.6,"(34.74865012400045, -92.27449074299966)",5,MTH1_0,MEAN,5,12.2,,,"Multiracial, non-Hispanic"
499,2011,CA,California,Recent mentally unhealthy days among adults aged >= 18 years,2.8,"(37.63864012300047, -120.99999953799971)",6,MTH1_0,AGEADJMEAN,2.3,3.2,,,"Other, non-Hispanic"
500,2011,CA,California,Recent mentally unhealthy days among adults aged >= 18 years,2.8,"(37.63864012300047, -120.99999953799971)",6,MTH1_0,MEAN,2.4,3.3,,,"Other, non-Hispanic"
501,2011,CA,California,Recent mentally unhealthy days among adults aged >= 18 years,3.3,"(37.63864012300047, -120.99999953799971)",6,MTH1_0,AGEADJMEAN,3.1,3.5,Male,,
502,2011,CA,California,Recent mentally unhealthy days among adults aged >= 18 years,3.4,"(37.63864012300047, -120.99999953799971)",6,MTH1_0,MEAN,3.1,3.6,Male,,
503,2011,CA,California,Recent mentally unhealthy days among adults aged >= 18 years,3.6,"(37.63864012300047, -120.99999953799971)",6,MTH1_0,MEAN,3.4,3.8,,,"White, non-Hispanic"
504,2011,CA,California,Recent mentally unhealthy days among adults aged >= 18 years,3.7,"(37.63864012300047, -120.99999953799971)",6,MTH1_0,AGEADJMEAN,3.6,3.9,,Overall,
505,2011,CA,California,Recent mentally unhealthy days among adults aged >= 18 years,3.8,"(37.63864012300047, -120.99999953799971)",6,MTH1_0,AGEADJMEAN,3.5,4,,,"White, non-Hispanic"
506,2011,CA,California,Recent mentally unhealthy days among adults aged >= 18 years,3.8,"(37.63864012300047, -120.99999953799971)",6,MTH1_0,MEAN,3.6,3.9,,Overall,
507,2011,CA,California,Recent mentally unhealthy days among adults aged >= 18 years,4,"(37.63864012300047, -120.99999953799971)",6,MTH1_0,MEAN,3.7,4.3,,,Hispanic
508,2011,CA,California,Recent mentally unhealthy days among adults aged >= 18 years,4.1,"(37.63864012300047, -120.99999953799971)",6,MTH1_0,AGEADJMEAN,3.8,4.3,,,Hispanic
509,2011,CA,California,Recent mentally unhealthy days among adults aged >= 18 years,4.2,"(37.63864012300047, -120.99999953799971)",6,MTH1_0,AGEADJMEAN,4,4.4,Female,,
510,2011,CA,California,Recent mentally unhealthy days among adults aged >= 18 years,4.2,"(37.63864012300047, -120.99999953799971)",6,MTH1_0,MEAN,4,4.4,Female,,
511,2011,CA,California,Recent mentally unhealthy days among adults aged >= 18 years,5.2,"(37.63864012300047, -120.99999953799971)",6,MTH1_0,AGEADJMEAN,4.2,6.1,,,"Black, non-Hispanic"
512,2011,CA,California,Recent mentally unhealthy days among adults aged >= 18 years,5.2,"(37.63864012300047, -120.99999953799971)",6,MTH1_0,MEAN,4.3,6.1,,,"Black, non-Hispanic"
513,2011,CA,California,Recent mentally unhealthy days among adults aged >= 18 years,6.4,"(37.63864012300047, -120.99999953799971)",6,MTH1_0,AGEADJMEAN,5.2,7.6,,,"Multiracial, non-Hispanic"
514,2011,CA,California,Recent mentally unhealthy days among adults aged >= 18 years,6.6,"(37.63864012300047, -120.99999953799971)",6,MTH1_0,MEAN,5.3,7.9,,,"Multiracial, non-Hispanic"
45,2011,CO,Colorado,Recent mentally unhealthy days among adults aged >= 18 years,2.5,"(38.843840757000464, -106.13361092099967)",8,MTH1_0,AGEADJMEAN,1.6,3.4,,,"Other, non-Hispanic"
46,2011,CO,Colorado,Recent mentally unhealthy days among adults aged >= 18 years,2.6,"(38.843840757000464, -106.13361092099967)",8,MTH1_0,MEAN,1.6,3.5,,,"Other, non-Hispanic"
47,2011,CO,Colorado,Recent mentally unhealthy days among adults aged >= 18 years,2.9,"(38.843840757000464, -106.13361092099967)",8,MTH1_0,AGEADJMEAN,2.6,3.2,Male,,
48,2011,CO,Colorado,Recent mentally unhealthy days among adults aged >= 18 years,2.9,"(38.843840757000464, -106.13361092099967)",8,MTH1_0,MEAN,2.7,3.2,Male,,
49,2011,CO,Colorado,Recent mentally unhealthy days among adults aged >= 18 years,3.4,"(38.843840757000464, -106.13361092099967)",8,MTH1_0,AGEADJMEAN,2.9,3.9,,,Hispanic
50,2011,CO,Colorado,Recent mentally unhealthy days among adults aged >= 18 years,3.4,"(38.843840757000464, -106.13361092099967)",8,MTH1_0,MEAN,2.9,3.9,,,Hispanic
51,2011,CO,Colorado,Recent mentally unhealthy days among adults aged >= 18 years,3.4,"(38.843840757000464, -106.13361092099967)",8,MTH1_0,MEAN,3.2,3.7,,,"White, non-Hispanic"
52,2011,CO,Colorado,Recent mentally unhealthy days among adults aged >= 18 years,3.5,"(38.843840757000464, -106.13361092099967)",8,MTH1_0,AGEADJMEAN,3.3,3.7,,Overall,"White, non-Hispanic"
53,2011,CO,Colorado,Recent mentally unhealthy days among adults aged >= 18 years,3.5,"(38.843840757000464, -106.13361092099967)",8,MTH1_0,MEAN,3.3,3.7,,Overall,
54,2011,CO,Colorado,Recent mentally unhealthy days among adults aged >= 18 years,4.1,"(38.843840757000464, -106.13361092099967)",8,MTH1_0,AGEADJMEAN,3.8,4.4,Female,,
55,2011,CO,Colorado,Recent mentally unhealthy days among adults aged >= 18 years,4.1,"(38.843840757000464, -106.13361092099967)",8,MTH1_0,MEAN,3.8,4.4,Female,,
56,2011,CO,Colorado,Recent mentally unhealthy days among adults aged >= 18 years,4.7,"(38.843840757000464, -106.13361092099967)",8,MTH1_0,AGEADJMEAN,3.3,6.1,,,"Black, non-Hispanic"
57,2011,CO,Colorado,Recent mentally unhealthy days among adults aged >= 18 years,4.8,"(38.843840757000464, -106.13361092099967)",8,MTH1_0,MEAN,3.4,6.1,,,"Black, non-Hispanic"
58,2011,CO,Colorado,Recent mentally unhealthy days among adults aged >= 18 years,7,"(38.843840757000464, -106.13361092099967)",8,MTH1_0,MEAN,5,9.1,,,"Multiracial, non-Hispanic"
59,2011,CO,Colorado,Recent mentally unhealthy days among adults aged >= 18 years,7.2,"(38.843840757000464, -106.13361092099967)",8,MTH1_0,AGEADJMEAN,5.2,9.2,,,"Multiracial, non-Hispanic"
519,2011,CT,Connecticut,Recent mentally unhealthy days among adults aged >= 18 years,3.3,"(41.56266102000046, -72.64984095199964)",9,MTH1_0,AGEADJMEAN,2.2,4.4,,,"Other, non-Hispanic"
520,2011,CT,Connecticut,Recent mentally unhealthy days among adults aged >= 18 years,3.3,"(41.56266102000046, -72.64984095199964)",9,MTH1_0,AGEADJMEAN,2.9,3.8,Male,,
521,2011,CT,Connecticut,Recent mentally unhealthy days among adults aged >= 18 years,3.3,"(41.56266102000046, -72.64984095199964)",9,MTH1_0,MEAN,2.9,3.7,Male,,
522,2011,CT,Connecticut,Recent mentally unhealthy days among adults aged >= 18 years,3.4,"(41.56266102000046, -72.64984095199964)",9,MTH1_0,MEAN,3,3.7,,,"White, non-Hispanic"
523,2011,CT,Connecticut,Recent mentally unhealthy days among adults aged >= 18 years,3.5,"(41.56266102000046, -72.64984095199964)",9,MTH1_0,AGEADJMEAN,3.2,3.9,,,"White, non-Hispanic"
524,2011,CT,Connecticut,Recent mentally unhealthy days among adults aged >= 18 years,3.5,"(41.56266102000046, -72.64984095199964)",9,MTH1_0,MEAN,2.3,4.8,,,"Other, non-Hispanic"
525,2011,CT,Connecticut,Recent mentally unhealthy days among adults aged >= 18 years,3.6,"(41.56266102000046, -72.64984095199964)",9,MTH1_0,AGEADJMEAN,2.7,4.5,,,"Black, non-Hispanic"
526,2011,CT,Connecticut,Recent mentally unhealthy days among adults aged >= 18 years,3.6,"(41.56266102000046, -72.64984095199964)",9,MTH1_0,AGEADJMEAN,3.4,3.9,,Overall,
527,2011,CT,Connecticut,Recent mentally unhealthy days among adults aged >= 18 years,3.6,"(41.56266102000046, -72.64984095199964)",9,MTH1_0,MEAN,3.3,3.9,,Overall,
528,2011,CT,Connecticut,Recent mentally unhealthy days among adults aged >= 18 years,3.8,"(41.56266102000046, -72.64984095199964)",9,MTH1_0,MEAN,2.9,4.8,,,"Black, non-Hispanic"
529,2011,CT,Connecticut,Recent mentally unhealthy days among adults aged >= 18 years,3.8,"(41.56266102000046, -72.64984095199964)",9,MTH1_0,MEAN,3.5,4.2,Female,,
530,2011,CT,Connecticut,Recent mentally unhealthy days among adults aged >= 18 years,3.9,"(41.56266102000046, -72.64984095199964)",9,MTH1_0,AGEADJMEAN,3.5,4.3,Female,,
531,2011,CT,Connecticut,Recent mentally unhealthy days among adults aged >= 18 years,4.6,"(41.56266102000046, -72.64984095199964)",9,MTH1_0,MEAN,3.6,5.5,,,Hispanic
532,2011,CT,Connecticut,Recent mentally unhealthy days among adults aged >= 18 years,4.8,"(41.56266102000046, -72.64984095199964)",9,MTH1_0,AGEADJMEAN,3.8,5.9,,,Hispanic
533,2011,CT,Connecticut,Recent mentally unhealthy days among adults aged >= 18 years,7.1,"(41.56266102000046, -72.64984095199964)",9,MTH1_0,AGEADJMEAN,4.3,9.8,,,"Multiracial, non-Hispanic"
534,2011,CT,Connecticut,Recent mentally unhealthy days among adults aged >= 18 years,7.9,"(41.56266102000046, -72.64984095199964)",9,MTH1_0,MEAN,4.7,11.1,,,"Multiracial, non-Hispanic"
556,2011,DE,Delaware,Recent mentally unhealthy days among adults aged >= 18 years,2.6,"(39.008830667000495, -75.57774116799965)",10,MTH1_0,AGEADJMEAN,1.1,4.1,,,"Other, non-Hispanic"
557,2011,DE,Delaware,Recent mentally unhealthy days among adults aged >= 18 years,2.7,"(39.008830667000495, -75.57774116799965)",10,MTH1_0,AGEADJMEAN,2.1,3.3,,,"Black, non-Hispanic"
558,2011,DE,Delaware,Recent mentally unhealthy days among adults aged >= 18 years,2.7,"(39.008830667000495, -75.57774116799965)",10,MTH1_0,MEAN,2.1,3.3,,,"Black, non-Hispanic"
559,2011,DE,Delaware,Recent mentally unhealthy days among adults aged >= 18 years,2.8,"(39.008830667000495, -75.57774116799965)",10,MTH1_0,MEAN,2.4,3.3,Male,,
560,2011,DE,Delaware,Recent mentally unhealthy days among adults aged >= 18 years,2.9,"(39.008830667000495, -75.57774116799965)",10,MTH1_0,AGEADJMEAN,2.4,3.4,Male,,
561,2011,DE,Delaware,Recent mentally unhealthy days among adults aged >= 18 years,3.4,"(39.008830667000495, -75.57774116799965)",10,MTH1_0,AGEADJMEAN,2,4.8,,,Hispanic
562,2011,DE,Delaware,Recent mentally unhealthy days among adults aged >= 18 years,3.4,"(39.008830667000495, -75.57774116799965)",10,MTH1_0,AGEADJMEAN,3.1,3.8,,Overall,
563,2011,DE,Delaware,Recent mentally unhealthy days among adults aged >= 18 years,3.4,"(39.008830667000495, -75.57774116799965)",10,MTH1_0,MEAN,1.8,5,,,Hispanic
564,2011,DE,Delaware,Recent mentally unhealthy days among adults aged >= 18 years,3.4,"(39.008830667000495, -75.57774116799965)",10,MTH1_0,MEAN,3,3.7,,Overall,
565,2011,DE,Delaware,Recent mentally unhealthy days among adults aged >= 18 years,3.5,"(39.008830667000495, -75.57774116799965)",10,MTH1_0,MEAN,3.1,3.9,,,"White, non-Hispanic"
566,2011,DE,Delaware,Recent mentally unhealthy days among adults aged >= 18 years,3.7,"(39.008830667000495, -75.57774116799965)",10,MTH1_0,AGEADJMEAN,3.3,4.1,,,"White, non-Hispanic"
567,2011,DE,Delaware,Recent mentally unhealthy days among adults aged >= 18 years,3.8,"(39.008830667000495, -75.57774116799965)",10,MTH1_0,MEAN,3.4,4.2,Female,,
568,2011,DE,Delaware,Recent mentally unhealthy days among adults aged >= 18 years,3.9,"(39.008830667000495, -75.57774116799965)",10,MTH1_0,AGEADJMEAN,3.5,4.3,Female,,
569,2011,DE,Delaware,Recent mentally unhealthy days among adults aged >= 18 years,4.6,"(39.008830667000495, -75.57774116799965)",10,MTH1_0,MEAN,2.3,6.9,,,"Multiracial, non-Hispanic"
570,2011,DE,Delaware,Recent mentally unhealthy days among adults aged >= 18 years,5.1,"(39.008830667000495, -75.57774116799965)",10,MTH1_0,AGEADJMEAN,2.8,7.3,,,"Multiracial, non-Hispanic"
538,2011,DC,District of Columbia,Recent mentally unhealthy days among adults aged >= 18 years,2.2,"(38.907192, -77.036871)",11,MTH1_0,AGEADJMEAN,1.9,2.4,,,"White, non-Hispanic"
539,2011,DC,District of Columbia,Recent mentally unhealthy days among adults aged >= 18 years,2.2,"(38.907192, -77.036871)",11,MTH1_0,MEAN,1.9,2.5,,,"White, non-Hispanic"
540,2011,DC,District of Columbia,Recent mentally unhealthy days among adults aged >= 18 years,3.4,"(38.907192, -77.036871)",11,MTH1_0,AGEADJMEAN,2.8,4,Male,,
541,2011,DC,District of Columbia,Recent mentally unhealthy days among adults aged >= 18 years,3.4,"(38.907192, -77.036871)",11,MTH1_0,MEAN,2.8,4,Male,,
542,2011,DC,District of Columbia,Recent mentally unhealthy days among adults aged >= 18 years,3.6,"(38.907192, -77.036871)",11,MTH1_0,AGEADJMEAN,3.2,3.9,,Overall,
543,2011,DC,District of Columbia,Recent mentally unhealthy days among adults aged >= 18 years,3.6,"(38.907192, -77.036871)",11,MTH1_0,MEAN,3.2,4,,Overall,
544,2011,DC,District of Columbia,Recent mentally unhealthy days among adults aged >= 18 years,3.7,"(38.907192, -77.036871)",11,MTH1_0,AGEADJMEAN,3.3,4.1,Female,,
545,2011,DC,District of Columbia,Recent mentally unhealthy days among adults aged >= 18 years,3.7,"(38.907192, -77.036871)",11,MTH1_0,MEAN,2.3,5.2,,,Hispanic
546,2011,DC,District of Columbia,Recent mentally unhealthy days among adults aged >= 18 years,3.8,"(38.907192, -77.036871)",11,MTH1_0,MEAN,3.3,4.2,Female,,
547,2011,DC,District of Columbia,Recent mentally unhealthy days among adults aged >= 18 years,3.9,"(38.907192, -77.036871)",11,MTH1_0,AGEADJMEAN,2.4,5.4,,,Hispanic
548,2011,DC,District of Columbia,Recent mentally unhealthy days among adults aged >= 18 years,4.3,"(38.907192, -77.036871)",11,MTH1_0,AGEADJMEAN,2.5,6.2,,,"Other, non-Hispanic"
549,2011,DC,District of Columbia,Recent mentally unhealthy days among adults aged >= 18 years,4.5,"(38.907192, -77.036871)",11,MTH1_0,AGEADJMEAN,3.9,5.2,,,"Black, non-Hispanic"
550,2011,DC,District of Columbia,Recent mentally unhealthy days among adults aged >= 18 years,4.5,"(38.907192, -77.036871)",11,MTH1_0,MEAN,2.3,6.8,,,"Other, non-Hispanic"
551,2011,DC,District of Columbia,Recent mentally unhealthy days among adults aged >= 18 years,4.5,"(38.907192, -77.036871)",11,MTH1_0,MEAN,3.9,5.2,,,"Black, non-Hispanic"
552,2011,DC,District of Columbia,Recent mentally unhealthy days among adults aged >= 18 years,5.7,"(38.907192, -77.036871)",11,MTH1_0,AGEADJMEAN,2.9,8.6,,,"Multiracial, non-Hispanic"
575,2011,FL,Florida,Recent mentally unhealthy days among adults aged >= 18 years,3.8,"(28.932040377000476, -81.92896053899966)",12,MTH1_0,MEAN,3.5,4.2,Male,,
576,2011,FL,Florida,Recent mentally unhealthy days among adults aged >= 18 years,3.9,"(28.932040377000476, -81.92896053899966)",12,MTH1_0,AGEADJMEAN,3.5,4.3,Male,,
577,2011,FL,Florida,Recent mentally unhealthy days among adults aged >= 18 years,3.9,"(28.932040377000476, -81.92896053899966)",12,MTH1_0,MEAN,3.6,4.2,,,"White, non-Hispanic"
578,2011,FL,Florida,Recent mentally unhealthy days among adults aged >= 18 years,4.1,"(28.932040377000476, -81.92896053899966)",12,MTH1_0,AGEADJMEAN,3.8,4.5,,,"White, non-Hispanic"
579,2011,FL,Florida,Recent mentally unhealthy days among adults aged >= 18 years,4.3,"(28.932040377000476, -81.92896053899966)",12,MTH1_0,MEAN,4,4.5,,Overall,
580,2011,FL,Florida,Recent mentally unhealthy days among adults aged >= 18 years,4.4,"(28.932040377000476, -81.92896053899966)",12,MTH1_0,AGEADJMEAN,3.6,5.1,,,"Black, non-Hispanic"
581,2011,FL,Florida,Recent mentally unhealthy days among adults aged >= 18 years,4.4,"(28.932040377000476, -81.92896053899966)",12,MTH1_0,AGEADJMEAN,4.1,4.6,,Overall,
582,2011,FL,Florida,Recent mentally unhealthy days among adults aged >= 18 years,4.4,"(28.932040377000476, -81.92896053899966)",12,MTH1_0,MEAN,3.6,5.2,,,"Black, non-Hispanic"
